                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.6076,                 1.8406,                 1.2599,                0.28888,                0.14906,                0.12028,                0.04753,                 2.4956,                 3.3819,                 1.8155,             0.00042641,             0.00042641,             0.00042641
                     57,                 1.6087,                 1.8397,                 1.2446,                0.29402,                0.13803,                 0.1319,                0.05271,                 2.5821,                 3.3207,                 1.9295,             0.00042007,             0.00042007,             0.00042007
                     58,                 1.5595,                 1.8028,                 1.2288,                 0.2754,                0.18588,                0.13554,                 0.0483,                 2.5747,                 3.3859,                 1.9591,             0.00041372,             0.00041372,             0.00041372
                     59,                  1.576,                 1.7855,                 1.2297,                0.28589,                0.16204,                0.12029,                   0.04,                 2.5503,                 3.6766,                 1.8874,             0.00040738,             0.00040738,             0.00040738
                     60,                 1.5888,                   1.75,                 1.2461,                0.70772,                0.13405,                0.14917,                  0.061,                 2.4631,                 3.5494,                 1.8909,             0.00040103,             0.00040103,             0.00040103
                     61,                 1.5973,                 1.7708,                 1.2341,                0.68282,                0.12744,                0.13532,                  0.048,                 2.5403,                 3.4196,                 1.9021,             0.00039469,             0.00039469,             0.00039469
                     62,                 1.5751,                 1.7656,                 1.2292,                0.30754,                0.17397,                0.14131,                0.04891,                 2.6232,                 3.4567,                 1.9857,             0.00038835,             0.00038835,             0.00038835
                     63,                 1.5089,                  1.689,                 1.2119,                0.31534,                0.17045,                0.15566,                0.04826,                 2.6165,                 3.2241,                 1.9589,               0.000382,               0.000382,               0.000382
                     64,                 1.5469,                 1.7291,                  1.206,                0.25907,                0.19361,                0.13186,                 0.0595,                 2.5993,                 3.3569,                 1.8723,             0.00037566,             0.00037566,             0.00037566
                     65,                 1.5259,                 1.6925,                 1.2016,                0.28109,                0.17048,                0.10896,                0.03993,                 2.6509,                 3.4033,                 1.9854,             0.00036931,             0.00036931,             0.00036931
                     66,                 1.5562,                  1.694,                 1.2289,                0.46951,                0.14866,                0.13195,                0.05167,                 2.5637,                 3.5876,                 1.9516,             0.00036297,             0.00036297,             0.00036297
