                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.386,                 1.3914,                 1.1618,                0.17216,                0.15344,                0.13718,                0.04419,                 2.6957,                 3.7791,                 2.0704,             0.00049493,             0.00049493,             0.00049493
                     75,                 1.3925,                 1.3565,                 1.1674,                0.34356,                0.16362,                 0.1416,                0.04587,                 2.6686,                 3.6257,                 2.0602,             0.00049112,             0.00049112,             0.00049112
                     76,                 1.3777,                 1.3715,                 1.1578,                0.15896,                0.17905,                0.11762,                0.03888,                 2.7155,                 4.4084,                 2.0739,             0.00048732,             0.00048732,             0.00048732
                     77,                 1.3714,                 1.3678,                 1.1449,                0.27745,                0.19287,                0.15029,                0.04061,                 2.7489,                 3.9661,                 2.1036,             0.00048351,             0.00048351,             0.00048351
                     78,                 1.3719,                 1.3827,                 1.1372,                0.23568,                0.24286,                0.20183,                0.05937,                 2.6656,                 4.1906,                  2.076,              0.0004797,              0.0004797,              0.0004797
                     79,                 1.3561,                   1.33,                 1.1353,                0.33516,                0.19141,                0.19891,                0.05672,                 2.6845,                 3.6606,                 2.1176,              0.0004759,              0.0004759,              0.0004759
                     80,                 1.3521,                 1.3099,                 1.1561,                0.20545,                0.30305,                0.21524,                0.06533,                 2.7446,                 3.7433,                 2.1014,             0.00047209,             0.00047209,             0.00047209
                     81,                 1.3372,                 1.3702,                 1.1355,                0.23214,                0.16554,                0.13165,                0.04806,                 2.6793,                 3.8846,                 2.1339,             0.00046828,             0.00046828,             0.00046828
                     82,                 1.3756,                 1.3009,                 1.1449,                0.32946,                 0.2159,                0.17825,                 0.0521,                 2.7056,                  3.926,                 2.1423,             0.00046448,             0.00046448,             0.00046448
                     83,                 1.3048,                 1.2385,                 1.1402,                0.52527,                0.20368,                0.18456,                0.05691,                 2.6259,                 3.6272,                 2.1012,             0.00046067,             0.00046067,             0.00046067
                     84,                 1.2946,                 1.2163,                 1.1252,                0.49646,                0.16529,                0.18002,                0.06816,                 2.7863,                 3.7606,                 2.2026,             0.00045686,             0.00045686,             0.00045686
                     85,                 1.2982,                  1.263,                 1.1282,                0.33135,                 0.2286,                0.16368,                0.05102,                 2.7646,                 3.6584,                 2.1467,             0.00045306,             0.00045306,             0.00045306
                     86,                 1.3536,                 1.2791,                 1.1174,                0.36993,                0.18303,                0.18782,                0.06417,                 2.6924,                  3.621,                 2.0881,             0.00044925,             0.00044925,             0.00044925
                     87,                 1.3251,                 1.2059,                 1.1334,                0.41165,                0.23619,                0.17754,                0.06005,                 2.7097,                 3.5368,                 2.1368,             0.00044544,             0.00044544,             0.00044544
                     88,                 1.2745,                 1.2007,                 1.1216,                0.17955,                0.24493,                0.15492,                0.04442,                 2.8023,                  3.761,                 2.2766,             0.00044164,             0.00044164,             0.00044164
                     89,                 1.2771,                 1.2221,                 1.1164,                 0.2079,                 0.2319,                0.17549,                 0.0636,                 2.6804,                 4.5987,                 2.1489,             0.00043783,             0.00043783,             0.00043783
                     90,                 1.2525,                 1.1865,                 1.1056,                0.61092,                0.23887,                0.20564,                0.05857,                 2.6894,                 3.4702,                 2.1435,             0.00043402,             0.00043402,             0.00043402
                     91,                  1.234,                 1.1603,                 1.0917,                0.37655,                0.16063,                0.14255,                0.05163,                 2.6583,                 3.6199,                 2.1026,             0.00043022,             0.00043022,             0.00043022
                     92,                 1.2677,                 1.2088,                 1.1148,                0.13183,                0.17774,                0.15167,                0.05492,                   2.66,                 4.3184,                 2.0159,             0.00042641,             0.00042641,             0.00042641
                     93,                 1.2823,                 1.2259,                  1.107,                0.37922,                0.16323,                0.14428,                0.05332,                 2.7525,                  3.567,                 2.0999,              0.0004226,              0.0004226,              0.0004226
                     94,                 1.2699,                  1.169,                 1.0955,                0.41912,                0.18172,                0.17237,                0.05811,                 2.7021,                 3.6023,                 2.1013,              0.0004188,              0.0004188,              0.0004188
                     95,                  1.192,                 1.1365,                 1.0904,                0.32017,                0.23324,                0.16489,                0.05669,                 2.6766,                 3.8976,                 2.1168,             0.00041499,             0.00041499,             0.00041499
                     96,                 1.2068,                 1.1067,                 1.0827,                0.20989,                0.25819,                0.21993,                 0.0575,                 2.7867,                 3.7885,                 2.2097,             0.00041118,             0.00041118,             0.00041118
                     97,                 1.2358,                 1.1623,                 1.0876,                0.38033,                0.22011,                 0.1617,                0.05495,                  2.759,                 3.7933,                 2.1453,             0.00040738,             0.00040738,             0.00040738
                     98,                 1.2014,                 1.0886,                 1.0893,                0.19245,                0.23169,                0.14506,                0.05215,                 2.8154,                 3.4547,                 2.1925,             0.00040357,             0.00040357,             0.00040357
                     99,                 1.2739,                 1.1508,                 1.1085,                 0.2124,                0.23541,                0.16614,                0.06166,                 2.7098,                 3.7199,                 2.0381,             0.00039976,             0.00039976,             0.00039976
                    100,                 1.2412,                 1.1193,                 1.0851,                0.25298,                0.25428,                0.16991,                0.06233,                 2.6992,                 3.7753,                 2.0848,             0.00039596,             0.00039596,             0.00039596
                    101,                 1.2027,                 1.1191,                  1.072,                0.29574,                0.21431,                  0.177,                 0.0567,                 2.7698,                 3.7612,                  2.133,             0.00039215,             0.00039215,             0.00039215
                    102,                 1.2206,                 1.1182,                 1.0822,                0.18801,                0.21913,                0.13319,                0.04785,                 2.7308,                  3.624,                 2.1825,             0.00038835,             0.00038835,             0.00038835
                    103,                 1.2467,                 1.1396,                  1.077,                0.28035,                0.20646,                0.16788,                0.05624,                 2.8009,                 3.6511,                  2.154,             0.00038454,             0.00038454,             0.00038454
                    104,                 1.2444,                 1.1267,                 1.0884,                0.42163,                0.19749,                0.17212,                0.06131,                 2.7512,                 3.6162,                 2.1292,             0.00038073,             0.00038073,             0.00038073
                    105,                 1.2035,                 1.0686,                 1.0828,                0.52566,                0.16792,                0.16879,                0.05834,                 2.8108,                 3.6638,                 2.1784,             0.00037693,             0.00037693,             0.00037693
                    106,                 1.1861,                 1.0607,                 1.0639,                0.28619,                0.26979,                0.19094,                 0.0626,                 2.7104,                  3.909,                 2.1375,             0.00037312,             0.00037312,             0.00037312
                    107,                 1.1998,                 1.0517,                 1.0741,                0.27114,                0.17229,                0.14785,                0.05933,                 2.7247,                 3.6513,                 2.1323,             0.00036931,             0.00036931,             0.00036931
                    108,                 1.1848,                 1.0578,                 1.0658,                0.27784,                0.26403,                0.20639,                0.07206,                 2.7504,                 3.8161,                 2.1349,             0.00036551,             0.00036551,             0.00036551
                    109,                 1.1788,                 1.0429,                 1.0669,                0.47711,                 0.1867,                0.17648,                0.05876,                 2.7399,                 3.7666,                 2.1594,              0.0003617,              0.0003617,              0.0003617
                    110,                 1.2005,                 1.0596,                 1.0878,                0.40608,                0.23939,                0.18931,                0.05648,                 2.7136,                 3.7773,                 2.0858,             0.00035789,             0.00035789,             0.00035789
                    111,                 1.2314,                 1.0761,                  1.076,                 0.4446,                0.21344,                0.15869,                0.06052,                 2.7317,                 3.7348,                 2.1016,             0.00035409,             0.00035409,             0.00035409
                    112,                 1.1595,                 1.0571,                 1.0647,                0.17401,                0.18003,                0.15376,                0.05305,                 2.7322,                 3.7005,                 2.1147,             0.00035028,             0.00035028,             0.00035028
                    113,                 1.1615,                 1.0088,                 1.0688,                0.15996,                 0.1762,                0.14313,                0.04764,                  2.706,                 3.6654,                 2.1015,             0.00034647,             0.00034647,             0.00034647
                    114,                 1.1779,                 1.0296,                 1.0622,                 0.4569,                0.25097,                0.16334,                0.05609,                 2.7134,                 3.5985,                 2.0415,             0.00034267,             0.00034267,             0.00034267
